emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
36,55,151,643,728,282,65,39
36,55,145,548,801,258,63,39
37,55,148,594,765,271,55,37
35,46,105,559,775,283,55,35
39,55,130,604,737,308,51,35
41,63,151,621,693,279,42,37
37,59,160,642,601,289,39,34
37,60,163,653,540,289,43,35
39,62,169,657,608,302,44,35
35,55,150,591,566,273,44,32
31,44,121,565,679,280,40,29
34,47,127,566,739,263,43,34
35,48,142,602,775,268,41,34
35,49,145,648,774,248,44,35
41,51,154,658,817,265,46,41
41,57,156,671,796,264,45,41
41,57,161,761,737,299,47,39
43,64,153,683,714,316,48,44
44,65,158,667,678,321,47,43
40,64,157,680,620,297,45,40
39,58,152,665,619,290,44,38
37,54,131,530,609,290,47,37
35,51,132,557,589,246,47,31
35,49,145,648,774,248,44,35
41,51,154,658,817,265,46,41
41,57,156,671,796,264,45,41
41,57,161,761,737,299,47,39
43,64,153,683,714,316,48,44
44,65,158,667,678,321,47,43
40,64,157,680,620,297,45,40
39,58,152,665,619,290,44,38
37,54,131,530,609,290,47,37
35,51,132,557,589,246,47,31
32,48,129,534,600,250,44,32
32,54,142,572,666,259,48,31
34,59,154,594,644,267,57,34
35,63,154,600,637,231,52,34
37,64,148,602,679,257,51,36
38,63,137,595,669,233,53,36
40,62,145,714,625,225,60,42
43,61,152,767,599,221,64,47
44,61,156,863,673,264,68,49
42,61,158,889,689,258,68,46
43,64,168,936,689,265,70,47
42,61,143,833,736,264,67,44
40,61,122,752,736,261,60,39
38,61,117,628,675,259,55,38
42,60,127,614,651,261,56,39
41,59,121,525,622,258,53,38
43,59,134,562,554,261,61,43
97,63,134,572,516,251,59,40
233,76,127,546,494,187,64,47
303,97,105,456,411,140,147,58
29,29,57,275,308,105,44,24
30,29,55,256,276,105,43,24
30,29,57,272,275,86,37,22
24,31,58,237,253,104,40,21
24,32,52,233,289,103,39,22
33,34,48,211,341,99,37,21
32,32,56,284,341,101,40,23
30,33,60,280,321,106,42,27
30,28,56,265,337,89,44,30
31,32,75,269,317,89,44,30
22,32,77,273,249,93,43,31
22,33,80,272,246,91,42,30
23,32,74,266,285,87,41,27
22,36,85,305,305,97,36,24
20,30,73,301,318,105,39,24
22,37,93,347,342,102,38,24
27,46,106,350,357,108,41,27
28,48,111,424,380,109,39,28
36,51,108,452,365,107,42,32
39,55,114,468,412,97,46,40
40,60,121,545,512,108,48,43
43,65,129,575,571,100,50,47
44,69,141,629,566,106,53,47
43,74,159,687,638,124,58,49
44,74,159,717,656,125,55,46
46,81,167,697,592,125,68,49
44,79,169,768,562,146,69,48
48,83,178,846,578,147,71,53
50,88,179,826,564,126,71,53
50,92,201,961,704,136,71,54
40,60,121,545,512,108,48,43
43,65,129,575,571,100,50,47
44,69,141,629,566,106,53,47
43,74,159,687,638,124,58,49
44,74,159,717,656,125,55,46
46,81,167,697,592,125,68,49
44,79,169,768,562,146,69,48
48,83,178,846,578,147,71,53
50,88,179,826,564,126,71,53
50,92,201,961,704,136,71,54
52,89,216,1060,897,169,63,52
53,87,213,1086,1051,155,60,53
61,103,240,1103,1156,199,72,61
81,126,261,1124,1224,238,90,79
83,128,264,1109,1203,287,100,84
96,141,273,1098,1138,302,113,99
100,149,287,1080,1053,366,119,102
101,152,292,1004,1008,402,130,106
89,137,281,1020,1003,397,121,96
92,147,309,1103,1011,376,118,97
82,141,298,1058,1029,376,113,84
80,141,315,1076,1073,382,118,83
71,122,284,1070,1016,349,98,72
79,135,298,1036,1044,345,107,82
84,135,265,845,1159,349,116,88
87,138,277,894,1174,379,117,90
102,162,319,852,1145,428,114,102
110,178,351,880,1203,439,123,109
104,162,329,910,1142,492,119,104
97,156,337,964,1012,508,117,97
82,141,298,1058,1029,376,113,84
80,141,315,1076,1073,382,118,83
71,122,284,1070,1016,349,98,72
79,135,298,1036,1044,345,107,82
84,135,265,845,1159,349,116,88
87,138,277,894,1174,379,117,90
102,162,319,852,1145,428,114,102
110,178,351,880,1203,439,123,109
104,162,329,910,1142,492,119,104
97,156,337,964,1012,508,117,97
93,149,324,890,964,473,111,95
85,131,295,887,975,452,124,89
